name,sorted_name,similar_names
Ignatius of Loyola Staff,ignatius loyola of staff,['']
Marla Runyan,marla runyan,['']
Willard Eugene Peterson,eugene peterson willard,['']
Pierre Cronjé,cronjé pierre,['']
Philip K. Dick,dick k. philip,['']
Stephen Prothero,prothero stephen,['']
Ingrid Carlberg,carlberg ingrid,['']
Carolyn C. Cooper,c. carolyn cooper,['']
Fang Lin Luo,fang lin luo,['']
Kerry Colburn,colburn kerry,['']
Henry Williamson,henry williamson,"['Williamson Murray, Jenny Williams, Mary Williamson, George Williamson, Ray A. Williamson']"
D. C. Somervell,c. d. somervell,['']
Bernard Cornwell,bernard cornwell,['']
John Ratzenberger,john ratzenberger,['']
Tiffany Papageorge,papageorge tiffany,['']
Gerald W. Buetow,buetow gerald w.,['']
Joel Gross,gross joel,"['John Gross, Jody Gross']"
Reginald F. Lewis,f. lewis reginald,['Ronald J. Lewis']
John Oller,john oller,"[""John Mueller, John Kobler, John O'Leary""]"
Terrence Popravak,popravak terrence,['']
Gwen Diehn,diehn gwen,['']
James Higgins,higgins james,"['Jack Higgins, James Dickins, James Higbie, James Haskins']"
Johannes Geiss,geiss johannes,['']
Suzannah Lipscomb,lipscomb suzannah,['']
Michael D. Coogan,coogan d. michael,"['Michael D. Cole, Michael David Coogan, Michael J. Cook, Michael J. Gorman, Michael L. Cook, Michael F. Cohen']"
Amy Gutman,amy gutman,['']
Victor J. Papanek,j. papanek victor,['Victor Papanek']
John Boardman,boardman john,"['John Boorman, John Hardman']"
Robert Tressell,robert tressell,['Robert Terrell']
Geoffrey Perret,geoffrey perret,['']
Stephen Tapscott,stephen tapscott,['']
Douglass C. North,c. douglass north,['']
Joe Rubino,joe rubino,['Jane Rubino']
James R. Munkres,james munkres r.,['James R. Mueller']
Douglas Reeman,douglas reeman,['']
Jean-Pierre Weill,jean-pierre weill,['']
Roger N. Lancaster,lancaster n. roger,['']
Maggie Greenwood-Robinson,greenwood-robinson maggie,['']
Oleg V. Khlevniuk,khlevniuk oleg v.,['']
Masashi Kishimoto,kishimoto masashi,['']
Hersh Shefrin,hersh shefrin,['']
Judson Cornwall,cornwall judson,['']
Bill Wallace,bill wallace,"['Ira Wallace, Paul Wallace']"
Bruce Schulman,bruce schulman,['']
Jim Daniels,daniels jim,['J Daniels']
Brad Nichols,brad nichols,"['Bill Nichols, Clay Nichols']"
Peter Gathercole,gathercole peter,['']
Grace Norwich,grace norwich,['']
Rick Carson,carson rick,['Rick Carton']
John Burnet (Professor of Greek in the University of St. Andrews.),(professor andrews.) burnet greek in john of of st. the university,['']
Stephen White,stephen white,['Stephen Weiner']
Miriam Dow,dow miriam,['']
Judith Hillman Paterson,hillman judith paterson,['']
Valerie Merriam,merriam valerie,['']
Ellen R. Kadin,ellen kadin r.,['']
Greg Green,green greg,['']
John Montroll,john montroll,['']
Leandra Logan,leandra logan,['']
Raymond P. Scheindlin,p. raymond scheindlin,['']
David J. Langum,david j. langum,['']
Wally Lamb,lamb wally,['']
Meg Mason,mason meg,['']
