Title,authors
A Tally of Types,"['Stanley Morison', 'Cambridge University Press']"
Moonraker or the Female Pirate and Her Friends,['F. Tennyson (Fryniwyd Tennyson) Jesse']
How to Own Your Home Years Sooner - without making extra interest payments,['Harj Gill']
Stuck with You (Time of Your Life),['Greg A. Gerrie']
"The MIDI Companion: The Ins, Outs and Throughs",['Jeffrey Carl Rona']
His Grace Endures (Regency Romance),['Emma Jensen']
Vino Para Dummies,"['Ed McCarthy', 'Mary Ewing-Mulligan']"
Enterprise Resources Planning and Beyond: Integrating Your Entire Organization (Resource Management),['Gary A Langenwalter']
Sexual Arena and Women's Liberation,['Edward J. Bardon']
Lord Berkley's Wife,['Sotero Agboton']
Spousal Support In Network Marketing,['Donna Fason']
The California Heritage Cookbook,"['Ronda L. Brulotte', 'Michael A. Di Giovine']"
Tequila: A Natural and Cultural History,"['Ana Guadalupe Valenzuela Zapata', 'Gary Paul Nabhan']"
Dumb witness,['AGATHA. CHRISTIE']
"The Gun Digest Book of the 1911: A Complete Look at the Use, Care & Repair of the 1911 Pistol, Vol. 1",['Patrick Sweeney']
Emil Nolde : Landscapes : Watercolors And Drawings,['Martin Urban']
Professional collection catalog,['Alamo Area Library System (Tex.)']
Healing Triangle of Light,['LaUna Huffines']
Memoirs of China,"['Tsi-gziou Li', 'Roman Rome']"
Advertising and a Democratic Press,['C. Edwin Baker']
Rakaposhi,['Brian H. Jones']
Jean Paul Sartres No Exit and the Flies,['Jean-Paul Sartre']
Point/Counterpoint: Opposing Perspectives on Issues of Drug Policy,['Charles F. Levinthal']
Mother S Table Father S Chair,['Jacqueline S. Thursby']
The National Review Treasury of Classic Children's Literature,"['William F. Buckley, Jr.']"
Transforming Social Work Practice.,['Juliet Koprowska']
Patricia's Secret,['Ruth Daggett LEINHAUSER']
Country of Exiles: The Destruction of Place in American Life,['William Leach']
The Fall and Rise of the Stately Home,['Pamela Horn']
Music with the Brain in Mind,['Eric Jensen']
Goju Ryu Karate Do: Fundamentals for Traditional Practitioners,['Motoo Yamakura']
"Topol's Treasury of Jewish Humor, Wit and Wisdom",['Topol']
Writing for Myself (and ticking everybody else off!),['Corrin Strong']
Alias Billy the Kid: The Man Behind the Legend (Western Legacy Series),['Donald Cline']
Wet Work,['Christopher Buckley']
Midnight Flame (Heartfire),['Lynette Vinet']
In Service to American Pharmacy: The Professional Life of William Procter Jr. (History Amer Science & Technol),['Gregory J. Higby']
The New Revised Standard Version Bible with Apocrypha,['Hendrickson Publishers']
Sharks/Other Scary Predators (Giant Book of),['Jim Pipe']
Sandwich Glass,['Joan E. Kaiser']
At The Feet Of The Master,['Jiddu Krishnamurti']
Sentimental imperialists: The American experience in East Asia,['James Claude Thomson']
Learn to Crochet Socks,['Lawrence Langel']
Joy (Fruit of the Spirit),['Neal Frisby']
"Practical French review;: Grammar and composition,","['Francis Brown Barton', 'Edward Hinman Sirich']"
The Bent Twig,['Dorothy Canfield']
RCA,['United States. Soil Conservation Service']
